Report Date,PFI,Facility Name,Hospital County,Hospital Region,NY Forward Region,Hospital Network,Total Employees,Partially Vaccinated,Fully Vaccinated,Staff Booster,Total Staff Furloughed,Direct Care Staff Furloughed,Direct Care Employees
07/25/2023,000870,St. James Hospital,Steuben,Western Regional Office,Southern Tier,University of Rochester Medical Center,356,7,349,114,0,0,356
07/25/2023,000889,University Hospital - Stony Brook Southampton Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,1257,0,1257,962,1,1,1257
07/25/2023,000891,University Hospital - Stony Brook Eastern Long Island Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,511,0,511,437,0,0,373
07/25/2023,001469,Mount Sinai Morningside,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,3330,0,3329,2456,2,2,2192
07/25/2023,001304,NYU Langone Hospital-Brooklyn,Kings,Metropolitan Area Regional Office,New York City,NYU Langone Health,4163,16,4132,3179,0,0,2982
07/25/2023,001318,Wyckoff Heights Medical Center,Kings,Metropolitan Area Regional Office,New York City,Independent,1893,5,1888,958,0,0,1107
07/25/2023,001122,New York-Presbyterian Lawrence Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,2119,5,2050,1570,20,16,1548
07/25/2023,001138,Blythedale Childrens Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Independent,785,0,785,684,0,0,461
07/25/2023,000727,Oswego Hospital,Oswego,Central New York Regional Office,Central New York,Independent,1065,0,1061,816,0,0,637
07/25/2023,000989,HealthAlliance Hospital Broadway Campus,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1029,0,1021,844,1,1,720
07/25/2023,001002,Ellenville Regional Hospital,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Independent,336,0,335,178,0,0,218
07/25/2023,000583,Mount St Marys Hospital and Health Center,Niagara,Western Regional Office,Western New York,"Catholic Health, Buffalo",869,2,854,497,1,1,602
07/25/2023,000484,St. Mary's Healthcare,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,1464,2,1448,1029,2,2,979
07/25/2023,000552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,1110,0,1110,855,1,1,654
07/25/2023,000280,Bertrand Chaffee Hospital,Erie,Western Regional Office,Western New York,Independent,353,0,352,253,0,0,204
07/25/2023,000325,The University of Vermont Health Network - Alice Hyde Medical Center,Franklin,Capital District Regional Office,North Country,University of Vermont Health Network,1228,0,1224,730,0,0,481
07/25/2023,000377,"River Hospital, Inc.",Jefferson,Central New York Regional Office,North Country,Independent,254,0,254,196,0,0,191
07/25/2023,000116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Southern Tier,Arnot Health,2323,11,2278,1519,0,0,1722
07/25/2023,000128,Chenango Memorial Hospital Inc,Chenango,Central New York Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",435,1,433,134,0,0,259
07/25/2023,000218,Sisters of Charity Hospital,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",2035,5,2013,1041,0,1,1646
07/25/2023,000913,Huntington Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1830,1,1822,1314,1,1,1243
07/25/2023,000001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Capital Region,Albany Medical Center,11709,33,11056,1364,0,0,6377
07/25/2023,000779,Good Samaritan Hospital of Suffern,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,2234,0,2230,996,0,0,1240
07/25/2023,000804,"Massena Hospital, Inc.",St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,334,0,334,280,0,0,225
07/25/2023,000829,Ellis Hospital,Schenectady,Capital District Regional Office,Capital Region,Independent,2654,2,2631,1652,5,5,1715
07/25/2023,001320,University Hospital of Brooklyn,Kings,Metropolitan Area Regional Office,New York City,Independent,2856,0,2826,1950,0,0,2049
07/25/2023,001097,SJRH - St Johns Division,Westchester,Metropolitan Area Regional Office,Mid-Hudson,"Riverside Health Care System, Inc.",1459,0,1447,1197,8,4,710
07/25/2023,001124,SJRH - Dobbs Ferry Pavillion,Westchester,Metropolitan Area Regional Office,Mid-Hudson,"Riverside Health Care System, Inc.",161,0,158,137,2,0,58
07/25/2023,001129,Phelps Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1552,0,1543,1218,1,1,842
07/25/2023,001168,Montefiore Medical Center-Wakefield Hospital,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,3017,4,3009,2396,5,5,1793
07/25/2023,000968,Catskill Regional Medical Center - G. Hermann Site,Sullivan,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,40,0,40,27,0,0,29
07/25/2023,001039,NewYork-Presbyterian/Hudson Valley Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,1565,7,1470,1167,8,3,1062
07/25/2023,000599,Faxton-St Lukes Healthcare St Lukes Division,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,2052,73,1947,1308,1,0,1340
07/25/2023,000636,Crouse Hospital,Onondaga,Central New York Regional Office,Central New York,Crouse Health,2836,4,2820,2331,3,1,1942
07/25/2023,000704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,407,0,405,238,0,0,232
07/25/2023,000409,Highland Hospital,Monroe,Western Regional Office,Finger Lakes,University of Rochester Medical Center,3257,4,3235,2321,5,4,2107
07/25/2023,000513,Mercy Medical Center,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1861,1,1841,1041,3,0,805
07/25/2023,000518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,1181,0,1179,800,1,1,668
07/25/2023,000551,St. Joseph Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,811,2,804,645,0,0,480
07/25/2023,000292,Sisters of Charity Hospital - St. Joseph Campus,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",461,3,455,275,0,0,344
07/25/2023,000324,Adirondack Medical Center-Saranac Lake Site,Franklin,Capital District Regional Office,North Country,Independent,909,0,905,857,0,0,621
07/25/2023,000339,United Memorial Medical Center North Street Campus,Genesee,Western Regional Office,Finger Lakes,Rochester Regional Health System,841,4,834,566,0,0,613
07/25/2023,000367,Samaritan Medical Center,Jefferson,Central New York Regional Office,North Country,Independent,2143,4,2007,1190,5,3,1503
07/25/2023,000111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Western New York,Allegheny Health Network,88,0,88,61,0,0,88
07/25/2023,000170,Margaretville Hospital,Delaware,Capital District Regional Office,Southern Tier,Westchester Medical Center Health Network,103,0,103,40,0,0,67
07/25/2023,000174,Delaware Valley Hospital Inc,Delaware,Capital District Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",266,1,263,172,1,1,161
07/25/2023,000005,St Peters Hospital,Albany,Capital District Regional Office,Capital Region,St. Peters Health Partners,4414,0,4397,2671,1,1,3707
07/25/2023,000037,Cuba Memorial Hospital Inc,Allegany,Western Regional Office,Western New York,Independent,54,0,52,50,0,0,49
07/25/2023,000058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central New York Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",3743,11,3724,2330,14,12,2056
07/25/2023,000990,HealthAlliance Hospital Broadway Campus,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,0,0,0,0,0,0,0
07/25/2023,001629,Jamaica Hospital Medical Center,Queens,Metropolitan Area Regional Office,New York City,MediSys Health Network,3966,6,3956,2953,7,4,1965
07/25/2023,001633,Queens Hospital Center,Queens,Metropolitan Area Regional Office,New York City,NYC H+H,3267,37,3183,622,0,0,2418
07/25/2023,001639,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Queens,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,1594,0,1593,1104,0,0,1213
07/25/2023,001692,Woodhull Medical and Mental Health Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3132,26,3106,2585,10,6,2280
07/25/2023,003067,Millard Fillmore Suburban Hospital,Erie,Western Regional Office,Western New York,Kaleida Health,2353,20,2323,1219,0,0,1189
07/25/2023,001450,Lenox Hill Hospital,New York,Metropolitan Area Regional Office,New York City,Northwell Health,4017,4,3979,2953,0,0,2526
07/25/2023,001464,New York-Presbyterian Hospital - Columbia Presbyterian Center,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,14553,89,13603,10654,86,65,11224
